CCTV-1,rtp://238.1.78.166:7200
CCTV-2,rtp://238.1.78.235:7752
CCTV-3,rtp://238.1.78.170:7232
CCTV-4,rtp://238.1.78.236:7760
CCTV-5,rtp://238.1.78.171:7240
CCTV-6,rtp://238.1.78.172:7248
CCTV-7,rtp://238.1.78.239:7784
CCTV-8,rtp://238.1.78.173:7256
CCTV-9,rtp://238.1.78.240:7792
CCTV-10,rtp://238.1.78.241:7800
CCTV-11,rtp://238.1.78.206:7502
CCTV-12,rtp://238.1.78.242:7808
CCTV-13,rtp://238.1.79.35:4392
CCTV-14,rtp://238.1.78.243:7816
CCTV-15,rtp://238.1.78.222:7648
CCTV-5+,rtp://238.1.78.237:7768
CCTV-17,rtp://238.1.78.178:7296
CETV-1,rtp://238.1.78.158:7136

安徽卫视4K,rtp://238.1.79.27:4328
安徽经济,rtp://238.1.79.44:4464
安徽影视,rtp://238.1.79.42:4448
安徽公共,rtp://238.1.79.43:4456
安徽体育,rtp://238.1.79.41:4440
安徽科教,rtp://238.1.79.40:4432
安徽国际,rtp://238.1.78.61:6360
合肥新闻,rtp://238.1.78.111:6760

北京卫视,rtp://238.1.78.162:7168
天津卫视,rtp://238.1.78.20:6088
重庆卫视,rtp://238.1.78.31:6176
东方卫视,rtp://238.1.78.163:7176
安徽卫视,rtp://238.1.78.150:7072
江苏卫视,rtp://238.1.78.165:7192
浙江卫视,rtp://238.1.78.164:7184
黑龙江卫视,rtp://238.1.78.159:7144
吉林卫视,rtp://238.1.79.48:4496
辽宁卫视,rtp://238.1.78.21:6096
东南卫视,rtp://238.1.78.22:6104
四川卫视,rtp://238.1.78.30:6168
江西卫视,rtp://238.1.78.26:6136
广东卫视,rtp://238.1.78.161:7160
海南卫视,rtp://238.1.79.49:4504
湖北卫视,rtp://238.1.78.168:7216
湖南卫视,rtp://238.1.78.160:7152
贵州卫视,rtp://238.1.78.244:7824
河北卫视,rtp://238.1.78.245:7832
河南卫视,rtp://238.1.79.65:4632
山东卫视,rtp://238.1.78.169:7224
甘肃卫视,rtp://238.1.79.36:4400
陕西卫视,rtp://238.1.78.88:6576
云南卫视,rtp://238.1.78.89:6584
山西卫视,rtp://238.1.78.95:6632
青海卫视,rtp://238.1.78.102:6688
广西卫视,rtp://238.1.78.70:6432
内蒙古卫视,rtp://238.1.78.103:6696
宁夏卫视,rtp://238.1.78.109:6744
新疆卫视,rtp://238.1.78.110:6752
西藏卫视,rtp://238.1.78.101:6680
深圳卫视,rtp://238.1.78.156:7120
兵团卫视,rtp://238.1.78.104:6704
三沙卫视,rtp://238.1.78.27:6144
厦门卫视,rtp://238.1.78.246:7840
陶瓷,rtp://238.1.78.157:7128
纪实人文,rtp://238.1.78.153:7096
乐游,rtp://238.1.78.151:7080
金鹰纪实,rtp://238.1.79.9:4184
动漫秀场,rtp://238.1.78.154:7104
生活时尚,rtp://238.1.78.155:7112
茶频道,rtp://238.1.79.30:4352
快乐垂钓,rtp://238.1.79.31:4360
生活时尚,rtp://238.1.78.155:7112
东方财经,rtp://238.1.78.73:6456
爱上4K,rtp://238.1.78.23:6112
欢笑剧场4K,rtp://238.1.79.67:4672
